X,Y,hardness,depth,brightness,roughness,warmth,sharpness,boominess,reverb
-1.76,-0.8,31.643902324384953,36.79924192963287,48.02082262206685,29.622592274761622,49.260223469724046,29.320640659353444,32.20486095872508,1
1.44,1.28,52.70588747777634,38.96323920806907,59.56698039864239,41.630616679546435,45.45329379725257,41.288433442647744,29.503041887274108,1
1.44,-0.16,41.62783614427295,46.85344354362638,46.61475749116926,0,49.75599661329631,25.58942925983589,39.922308603055754,1
2.08,-0.16,46.35670833152082,53.65888881555432,50.963885334747566,34.33188368749155,51.516182390125564,33.79962615430467,36.87187075305378,1
3.2,1.44,57.46025726389024,42.05449523135916,63.6233978583176,61.49281280003941,41.50144736313069,49.652381187307064,22.725395016811255,1
-0.16,0.0,51.11944691710238,46.61992758738775,55.660102674379985,46.630174850640486,46.96041314811763,35.108451890703385,33.35363718434186,1
0.32,0.8,45.92865947264639,44.40689263844508,56.74246342234589,46.36139306658318,44.51582915043136,37.99701261433612,31.71894342460514,1
3.68,-3.68,48.796283766592325,44.86329810644265,55.08725420183844,54.67183268738118,50.62037624854715,36.742594220956256,32.107056719238926,1
1.12,-0.32,52.903629230885116,52.905118259171246,53.96059817727802,50.44538101181076,48.94115249991368,34.11928127833457,27.000603631145044,1
3.36,2.88,59.26225867238392,38.502655081231026,68.81111410351585,64.85373642298664,36.727413380570056,55.35279264690053,19.90728532396309,1
2.72,-1.28,45.427472157980446,43.473027623858776,53.840768832181745,39.281881129482954,54.176099351575,34.97839046339796,34.54772928127036,0
1.28,-2.72,29.58886959767061,57.05139531471076,37.17814770985635,0,52.75987565628623,23.994408713899563,40.40382848007885,0
-1.44,-0.96,40.9261489635677,49.50224246482106,51.03936845168121,46.35053913143598,49.44802036337591,33.209815085208575,33.54887801220062,0
-2.24,-3.36,26.56371415717885,56.111985237996024,42.473868452006315,35.92436625583922,56.153486197267796,27.86872985876251,35.39945276527243,1
-0.96,-3.04,21.752814047459964,43.31458658674018,40.06631708121541,33.13217013444653,55.75013694147516,23.496436833447284,38.1817723181962,0
0.16,-4.0,24.064791628863517,70.17984356579841,43.03661984634776,41.24707459808457,55.78184275952446,27.469144800334956,36.899626332722136,1
-2.72,-0.32,69.15311907240891,28.249014249355923,78.03790932899241,66.15520943475411,16.126828233596132,68.95160509734833,7.471585614266971,0
1.92,3.2,69.25510347658968,33.23090584288446,78.73640184042182,78.01509792962659,25.007297806548287,66.45728647669887,18.978036867440828,1
-0.48,-2.88,27.230699677569476,58.09463753323168,39.59319506482998,0,55.269378827670806,22.83711511465848,43.06317029182324,1
1.12,-1.76,54.52371553210145,46.37760906742606,57.270362030629464,58.68869282573779,45.14569548273228,34.89443268845614,24.864542245479704,1
2.88,-0.48,39.741608698279634,57.27659477424136,43.08821292691576,33.202252544996085,48.18161167173271,27.947898473662892,42.90425284564769,1
0.48,3.84,59.536096373092334,33.02801112364363,68.94163853476536,59.98514685271654,23.080829049578085,58.87354161146926,18.198433314837487,0
-0.48,-2.08,38.22679421296634,54.85746084324112,43.685087966582714,30.578235476212704,51.98522941163024,25.78166895659946,40.15271290337128,0
0.48,0.96,54.609882502389894,34.685616668648024,64.99111978048661,57.63735884847548,33.79978690264133,50.52585732571092,21.714952596840142,1
2.08,-2.4,48.76534126880148,27.0562955504409,55.7063641393257,44.58713633799242,44.9179541670285,37.39910860918268,19.03174978725817,1
2.88,-0.32,34.049772947651945,58.42254408248165,43.08894335325043,0,47.840765683156256,20.817380021869397,43.75072058282345,0
-4.0,1.28,64.53564191646663,32.62374315559715,69.85829660811463,65.92604276551332,22.805740292829245,59.515632745541176,17.290513830515888,1
-2.24,0.48,72.29435567778759,28.595543443474746,74.76060088842884,69.5043653910343,20.5200730834573,65.82460263063179,6.09829183315167,0
-3.52,0.16,60.62638770637341,24.745594236665454,72.6544066015598,63.24205624336431,19.773403790046768,63.64138574105448,8.323028267350743,1
-0.48,-3.84,18.172757322780356,60.32189447819009,36.67563642137339,0,64.26708862230072,22.573943305826802,41.777883082056135,0
-0.64,-3.68,26.129548272954935,56.33721901121725,35.63224499927125,25.518182860130224,62.84440047557969,21.732192155162736,42.25282268627649,1
2.24,-0.32,35.060208461249346,58.703060046195624,40.32333543640037,0,47.376285974010145,23.066443451656227,45.92800354727183,1
2.72,0.8,55.81127677574315,42.42561564102266,62.87494768432796,60.61049762322968,42.225933074154625,48.820981585029045,23.02049354146446,1
2.72,-0.64,37.66500442855106,56.601544479523945,43.49157003427646,36.86510109365527,48.88271562548227,25.858513801236096,41.35431264566499,0
1.12,2.56,66.34976466879596,35.03669891930734,64.78791041476367,63.161466649568425,30.59112304136083,56.370664332781764,22.931532021352083,1
-1.44,-1.6,38.51898168122976,55.74888305124449,40.619853138899096,34.07836043651671,50.52306783549307,25.77281493748847,37.277716516933275,1
0.48,2.08,67.94762483256179,30.418746604243033,69.61007000319502,63.923392005840846,21.72673133611075,60.73167305817009,10.370880252120923,0
-3.84,-0.8,33.859130603868834,51.759247673091735,43.56240439996206,34.676152805915024,42.96686701004984,27.557116078223537,35.3531939832572,1
-3.52,-0.32,30.75813517867074,52.63113616089615,44.68356665664953,32.57318289318165,43.42484632216905,29.015714747141025,37.194130857810364,1
1.28,0.0,42.55416805738287,38.0822861096849,52.35211085721155,24.81343652351846,47.501995982014975,32.39449378535936,34.74622563887843,1
-0.8,-1.6,43.160214048347086,52.1614280289909,41.99718006538076,41.7801248491592,50.44651863020169,23.92146133298455,36.79247422543727,1
-1.92,-4.0,26.276885948917354,56.18016772420985,42.449722133411,35.1595116665478,56.63507139637812,27.14972666677651,35.503185958505966,1
-1.12,0.32,67.79956779843207,43.677689158829736,63.109266154611525,60.75359279598561,31.815736428185417,53.90484851384195,28.057362000555067,1
-3.2,-1.76,38.979520030211546,53.94462590362111,43.7397382984489,41.70986184482059,50.71490788404832,28.153847798386384,35.245328452153224,1
0.96,1.92,69.17931672148319,36.497058749759525,68.44384283073038,70.94323576704605,28.853958550878456,58.02825974530654,24.64298906721833,1
3.68,0.8,56.46897806538249,42.36184864339833,63.250820900501004,61.68166400609193,41.95280133061719,49.15958070820509,22.779923823104653,1
-0.48,-1.92,44.774420062066724,52.26151523290892,44.38333637707663,30.975348708142807,52.09429882496703,25.25528602236411,39.86305194786226,0
2.4,3.36,70.38758824321337,30.538662624699953,83.05167052271196,80.43183731550377,21.77198931318182,71.34806475611649,7.2004065194677125,0
2.08,-3.2,35.47812587682144,56.70530669264181,42.426830342955824,36.267329825076956,56.32156138533811,27.702349693688873,32.3130568885288,1
-1.92,2.4,64.99829888600146,29.68186412359094,72.90425739866997,62.879505781271604,19.086196445548037,63.00444868151469,14.161786994782435,0
-2.4,-1.92,35.60936867964608,49.42793787952089,44.67680762793939,45.99883486992602,47.466092616154526,26.18574101005271,32.28695737536626,1
-3.2,-2.56,30.818369707612035,50.31458310988122,45.635677268370316,45.30544604889077,50.21363720814183,30.17921598786479,28.975356418283454,1
-2.4,3.68,67.09653391892505,31.344387534932842,69.5331507980618,61.32754148482209,21.54347752336718,60.06367980538974,16.990208140675875,1
3.68,1.92,56.75566490045753,41.7544799132794,64.23496041402436,62.11910505693889,41.03772925305934,50.25967305433847,22.616535022939836,1
2.88,1.6,58.68856748063493,40.78420230154374,65.55744006917219,62.77756728984093,39.754590511121066,51.741413786450345,21.6539817407078,1
1.76,-2.88,37.97091864989628,29.20905339618043,45.28528015765646,27.970506938807798,49.373463485558695,30.842013246165155,28.401682087951716,1
-3.04,2.08,64.98038836526197,28.839699484429772,72.3267905963773,64.0365756575967,19.684694478724026,61.92967486273754,14.87361543924035,1
-2.4,-1.28,28.737555323579116,56.49688175370678,42.01874973813822,31.373204357392893,49.85007906237228,29.235549284826625,40.02177705324725,0
1.12,-2.88,36.62748794585326,34.41135536349605,46.32670562189587,39.26000692164998,46.355017709377904,31.262862837426898,31.406889091270923,1
-0.32,3.52,69.41763842380294,31.878691618638598,74.50797027359557,69.62901855685209,21.246318165897904,64.29451066207025,16.383244612954815,1
-3.68,1.44,65.53160047233956,31.33975687915327,71.28905138485914,66.79622500335094,20.961375587722095,61.340189435793754,14.131185210021307,1
0.16,-0.8,41.556475955038934,51.11238806304365,49.53457086779673,30.39955315732588,46.47852039906439,28.790639389244735,37.14495903951445,1
-3.04,1.28,68.57940334425354,29.99742897887986,73.41352010770765,65.68082841357273,19.116221605498758,63.7051116614829,11.50392006403789,1
-3.2,2.56,64.65397558377816,28.350689478205986,71.60369366413462,64.45454160474657,20.076064256325168,61.32944640391412,15.32450557693082,1
2.4,2.24,59.161749887741195,38.74890560559436,68.2532694779511,64.10179858577084,37.18651463087573,54.81391326424978,20.481362110374526,1
-3.36,-3.68,32.42020779236471,55.43766864452664,46.948285043530305,42.86479412382168,53.46663827732806,26.939540444262427,33.683808439536904,1
-4.0,-1.76,28.13909855908858,36.747988462841306,47.275062126704185,32.32890648085626,37.84609914880961,30.890502746147746,29.580420980178815,1
-2.24,0.64,77.78202736747718,29.79837623277904,73.5124809506724,64.84590963953823,19.578996297343785,64.06968398779254,9.652621607898912,0
1.92,0.8,52.5935439668869,43.251560087873884,59.32939467987315,57.13439554406429,45.525341957411925,43.97146807773152,26.05066048177284,1
-3.04,0.48,66.13613212437176,28.263141405279534,73.88379012516205,63.560120118768864,19.521173729641923,64.27594091744055,11.261844965060211,0
-1.28,-0.8,31.9439195028106,54.1060397419359,44.87330944394676,41.55421345444148,52.67369278618094,27.288727044448596,36.41137511824191,1
2.24,2.08,58.91316674342639,39.05634983704523,67.88608508709227,63.87482366857233,37.4737587836533,54.36283646160007,20.89839403977502,0
-3.04,-2.24,29.69414565356753,43.03142724640938,44.80122043279578,47.24697490532437,49.62368769153643,26.099223569240607,30.576216007109966,1
2.4,-2.72,55.95904108316108,43.52311731254056,61.51036779271151,60.01539693780954,43.1151731477286,45.04090541655443,23.455272453874024,1
1.44,-1.12,36.187861295200065,40.718622286320624,51.896991479915606,32.227139855028064,47.83850714230236,29.053543643498774,34.08353624796129,1
1.12,-0.8,40.264990230536014,36.968215775170464,51.32332978551858,30.43776518721652,48.38094545247626,29.759451046446525,32.477538261968704,1
-0.96,-0.16,55.7687350887191,32.744737983820194,59.227074738538455,52.61769944638814,34.37979706224096,45.4895012839308,23.681882812363554,1
-2.4,0.8,66.25286978979827,30.09146776052424,72.337829792825,64.47080264526349,20.07646736941935,62.68923957868411,11.665896921806588,1
1.92,3.84,71.82716809674466,22.42209536120265,83.97992242138722,81.60972314635632,20.408110615134675,77.32266285412062,0.0,1
-3.04,3.04,64.12051074923085,31.182842813545612,71.2994657956556,63.961702783712695,20.60968426787404,60.87513097978026,16.399791003430256,0
3.04,3.84,61.955708620386474,32.33254224489049,70.14544731291568,70.67934127671094,32.45230966185356,59.281245226792706,13.932122539369772,0
0.48,-0.8,45.22228827860695,50.76533720183578,49.68705013844472,34.60020079654526,47.855201327695085,31.108777936061863,36.544974266629644,1
2.72,-2.08,44.8348708913731,29.30034863188302,54.93010790434167,48.179475919984164,46.17027895189966,39.55490344396142,22.01906288241042,1
-0.64,-0.96,36.5327478939376,37.7171576362738,50.78566627867564,43.67132003716882,47.84140200015163,29.93746920202961,31.705934053983857,1
3.52,-1.92,49.61749757947976,35.33738555650136,58.74197679964072,54.45542636494508,46.47903978433975,41.506469653936925,26.278928175518825,1
-1.28,-0.32,31.96690362570895,35.43316600233122,51.29437029293095,29.386314873065654,39.082597780367685,32.12124811061767,30.72644839437424,1
-0.48,0.96,65.18169606877782,37.29227885658658,63.99277130099697,60.10149342963072,31.627729002511323,54.34327695389548,23.66594562288948,1
-1.44,-1.28,38.223459661381966,53.17650614090397,45.624205626418075,43.18382270774808,50.37579523141175,27.99233345582435,37.47162925768531,0
-3.84,0.0,62.73856420302246,30.927216500997197,70.34120293857102,61.12549336000802,21.371924683025078,60.34118574744406,13.930978659116109,1
3.84,0.48,56.822415623473916,42.47478313829673,63.1004099505627,61.609150394237716,42.042975209182075,49.09748302976334,22.81070156404337,0
-3.36,-0.8,38.40337722951199,45.501872980691324,45.428186610466696,34.64335063861307,42.13473263373187,30.00400244759328,34.84322683933043,0
-3.68,1.92,69.51600631052202,28.237372413841165,70.1964072670052,62.85457631981747,21.992964255542972,60.04969156144118,16.765497088288598,0
1.12,-0.16,49.6844004871578,52.425937568241764,54.90601968853409,48.416014643922786,46.80552432862363,35.76837497742884,27.176293496263956,1
-2.72,-2.72,34.255985024420625,58.62925723582538,46.46375655306477,47.42994205956556,53.4979103498096,28.687431080857863,31.680043584707253,1
2.88,-4.0,44.50333421824436,46.30547099130805,51.13365885729133,54.064012540094154,53.522346717271844,32.740302915602186,34.31656257294361,1
1.28,-1.44,42.569781415278044,52.85863882204617,49.805279888051714,41.22773534901632,50.55971115427372,29.185459598980916,31.187086435441735,0
-2.4,-0.96,36.16611142319354,55.02261094209587,44.906823686299184,39.247225156221205,53.94557955639923,29.366604331358918,38.58404444283957,0
0.32,-3.04,43.35479929149926,38.61260656187796,48.724532850036056,49.00933308181975,49.272567462594765,30.326797719798464,33.83916273854985,1
3.84,-1.76,49.18925766347786,43.20487934400637,56.67257348958374,51.83108838888947,48.06737787719189,40.5909524503249,30.432086559305404,0
-4.0,0.8,60.73903842789983,32.62122091937037,66.52062315024197,59.13804160176052,24.60419024205381,57.8517369820397,18.457218995418216,1
2.56,-3.2,41.65689969769268,64.21535578456735,45.27375816033901,43.35807137868738,52.74096303954014,25.904208537304655,34.04011371975052,1
-0.8,-0.64,30.240864637224718,51.96111020731699,45.73993677696052,25.157582949389433,46.825653035313145,26.890902132872498,38.734331478362314,1
-1.92,-3.52,26.09448454280701,55.99912996567897,42.38797952332346,35.3086545576387,56.09015012546764,30.48537065999183,34.994708926942465,1
-3.2,-3.68,32.051859438735306,55.39042455925749,46.51309357307967,42.78457809792284,53.6002573704101,28.056168935388506,33.43975955058977,1
3.68,0.16,43.701274842552294,54.41110990226017,50.55612879083454,45.372449966527114,50.65291820829005,33.13030146622808,35.8397699361813,1
-3.36,-3.04,34.03741810545641,57.27441732170771,45.535217010861004,47.28195158431708,54.101692533161874,27.68302796586822,32.194597587960374,1
2.24,1.44,59.23310702399192,39.090918334051906,67.29307565052832,63.062966666006005,38.09256874955805,53.5301229965621,21.04244687567132,1
-1.76,-2.88,28.632311330873833,56.140438442787556,42.20418576147382,38.3989215543394,56.11340664621757,26.185779292233917,36.0205731716955,1
-3.84,3.04,64.9213767340062,28.409756244197446,69.18459956340702,61.98071835773337,22.69334562659354,59.071398261402045,18.080872593870644,1
-0.96,-1.76,38.47144509955358,37.843104875810305,43.07383615041124,48.283009159299745,49.8254382807354,25.97152095641905,34.46524332718435,1
-0.96,0.32,64.3981661325395,42.89172455174681,64.11827751326851,61.81466359695158,30.35149995644739,54.360557737881614,27.517789573191546,1
1.44,-2.72,34.49759830304902,56.97328390050882,39.619979891274056,27.830991479859136,52.671852765623804,25.201571502728314,40.09300868839894,0
2.56,-2.24,46.401718913641844,27.723502214118255,56.42801836831928,48.0087181567318,44.9598209320543,39.586176110149175,20.359305797007586,1
-0.48,0.64,63.2973492376764,33.605202839934215,67.30953115805048,60.91276253544153,26.537808325828045,57.41429522815874,21.31557155304193,1
-3.36,3.68,65.72782358664878,31.770045872473318,68.51005857602976,61.71534429323578,22.744497474056097,58.36622988259616,19.3638655711433,0
0.48,-3.04,45.19092622305368,37.12064247274371,49.719331048080186,51.53230261085634,47.54565265684102,31.909302726031523,32.586235412987875,1
1.92,-3.2,34.03373791791414,29.434510341392823,45.681391771136816,31.76121183109417,49.359757446990706,31.58967206776841,28.185741932986794,1
3.36,-1.92,47.98970660279406,31.978389795412056,57.86830268895591,51.46857196459243,46.452795752897146,40.144645932088395,27.066992330889768,0
1.44,-0.8,33.331361178921014,39.06767579166299,48.925747019235146,26.028384554102743,47.42163541283443,27.918573056959282,34.58924551839916,1
-1.6,-1.6,31.660130136593494,56.0552938097055,40.94694574116983,33.69776691698265,50.62204267352753,26.572954188434856,37.11855190855141,1
1.76,-0.64,41.091324257983445,54.19010145316117,41.22214923821261,0,49.614345179404054,23.270909163395245,41.46144954193668,1
-3.2,3.52,63.4522746624541,32.73226129141273,69.44719138706245,62.18707370361531,22.48736712905902,59.15588922107639,18.38213246373645,0
-0.8,-3.2,27.74523045305645,54.825938841806625,37.558364360563914,21.68497756783803,61.31739620378822,23.00060038272161,41.32163136027343,0
