preset_name,amp_attack,amp_decay,amp_sustain,amp_release,osc1_waveform,filter_attack,filter_decay,filter_sustain,filter_release,filter_resonance,filter_env_amount,filter_cutoff,osc2_detune,osc2_waveform,master_vol,lfo_freq,lfo_waveform,osc2_range,osc_mix,freq_mod_amount,filter_mod_amount,amp_mod_amount,osc_mix_mode,osc1_pulsewidth,osc2_pulsewidth,reverb_roomsize,reverb_damp,reverb_wet,reverb_width,distortion_crunch,osc2_sync,portamento_time,keyboard_mode,osc2_pitch,filter_type,filter_slope,freq_mod_osc,filter_kbd_track,filter_vel_sens,amp_vel_sens,portamento_mode
ModulateIt,1.72025,1.58659,0,0.476647,2,1.95654,1.67477,0.0833968,0.283271,0.706947,5.35244,-0.148694,0.800464,0,0.582677,5.49213,0,1,-0.806564,0.740874,-0.241854,-0.966053,0,0.977436,0.751824,0.0687276,0.302145,0.167655,0.951748,0.0205782,0,0,0,11,0,1,,,,,
HardWon2,0.2,1.25,0,0.725003,2,0.183333,0.241667,0.173333,0.65,0.320787,4.65218,-0.0905512,0.506667,1,0.417323,0,0,0,-0.76378,0,-1,-1,1,1,0.314961,0.157729,0.623333,0.127292,1,0,0,0,0,-9,0,0,,,,,
HardCopy,0.191667,1.96668,0,0.265254,1,0.05,0.216667,0.47,2.475,0.152756,-13.2283,1.21654,-0.0266667,1,0.377953,0,2,-1,0.0733333,0,0.0133333,-1,1,0.503333,0.480315,0,0,0,1,0.108,0,0,1,0,0,1,,,,,
AllAroundBass,0.191667,1.02501,0,0.265254,0,0.05,0.216667,0.47,2.475,0.248967,10.3467,0.933071,-1,1,0.527559,0,2,1,1,0,0.0133333,-1,0,0.68,0.480315,0,0,0,1,0.108,1,0,1,0,0,1,,,,,
Unsure,0.191667,1.37501,0,0.265254,1,0.05,0.216667,0.47,2.475,0.183307,-13.2283,0.649606,-0.0266667,1,0.434619,2.77559,2,-1,0.0733333,0.356978,0.0133333,-1,1,0.503333,0.889764,0,0,0,1,0.108,0,0,0,0,2,1,,,,,
TechNo,0.241666,0.283334,0,0.281917,1,0,0,1,1.875,0.809606,4.15748,0.996063,1,3,0.598425,0,6,0,0.24,0,-1,-1,0,0,0.273333,0,0.786667,0.153333,1,0,0,0,0,12,0,1,,,,,
JumpStart,0.0333333,0,0.636667,0.473587,2,0.05,0.133333,0.866667,1.975,0.129334,10.88,1.33333,0.00545932,2,0.716535,1.47638,1,-1,0.533333,0.873545,-1,-1,0,1,0.996667,0,0,0,1,0,0,0,2,0,0,1,,,,,
Gander,2.14293,1.21646,0.586908,0.749138,1,0.596858,0.574064,0.993832,0.0098004,0.889754,14.757,1.04303,0.0806449,4,0.0551181,1.9749,1,2,-0.854469,0.162731,-0.135908,0.0299257,0,0.0486824,0.0288707,0.000954736,0.0214047,0.0610386,0.955118,0.752226,1,0.212288,1,0,1,1,,,,,
Snappy,0.92984,1.72898,0.729493,1.04774,2,0.105499,0.338554,0.120746,1.5427,0.83621,7.77003,0.282256,-0.853492,3,0.488451,0,0,0,-0.975881,0.0991659,-0.55713,-0.674936,0,0,0.00145761,0,0.163714,0.153954,0.949876,0.152504,0,0.06,2,-3,1,1,,,,,
RubberArrow,0.133361,0.791926,0.670989,1.14588,2,0.232504,2.36601,0.700892,1.86691,0.320787,-12.2205,0.933071,-0.023622,0,0.582677,2.75835,0,1,0.582883,0.11515,0.883382,0.0601595,0,0.166284,0.651952,0.127919,0.881095,0.170239,0.95471,0.063753,0,0,0,0,1,1,,,,,
