preset_name,amp_attack,amp_decay,amp_sustain,amp_release,osc1_waveform,filter_attack,filter_decay,filter_sustain,filter_release,filter_resonance,filter_env_amount,filter_cutoff,osc2_detune,osc2_waveform,master_vol,lfo_freq,lfo_waveform,osc2_range,osc_mix,freq_mod_amount,filter_mod_amount,amp_mod_amount,osc_mix_mode,osc1_pulsewidth,osc2_pulsewidth,reverb_roomsize,reverb_damp,reverb_wet,reverb_width,distortion_crunch,osc2_sync,portamento_time,keyboard_mode,osc2_pitch,filter_type,filter_slope,freq_mod_osc,filter_kbd_track,filter_vel_sens,amp_vel_sens,portamento_mode
Derren 1,0.15,0.74009,0.211222,0.111362,1,6.95688e-09,1.1006,0.232886,0.33064,0.917114,10.5934,-0.358078,0,1,0.5229,0.808204,0,-1,0.20171,0.251984,-0.228579,-0.416837,0,0.287752,0.59915,0.339957,0.177191,0.32997,0.979909,2.50448e-09,1,0,0,0,0,1,,,,,
Synth Strings 1,0.960411,0.02,1,1,2,0.0195569,0.02,1,1.05095,0.594336,0,0.851124,0.011899,2,0.955268,2.38653,0,0,0.0127277,0,-0.86315,-0.993575,0,0.788778,0.83,0.675502,0.00193077,0.0824253,0.477634,2.50448e-09,0,0,0,0,0,1,,,,,
Violin 1,0.391711,0.11,0.85,0.15,2,0.511366,0.02,0.707847,0.3,0.530301,8.63406,0.736762,6.70552e-07,2,1,2.25779,0,1,-0.277557,0.207631,-1,-1,0,0.954063,0.682296,0,0,0,0,1.49012e-08,0,0,0,0,0,1,,,,,
Sweet Bass,0.0591818,0.350065,0.5,0.868007,2,0,1.36265,2.78275e-09,1.04671,0.897859,16,0.271993,0,1,0.603862,1.76685,1,-1,-0.447776,0,0.4229,-1,0,0.451552,0.0784359,0.62,0.571492,0.5,0.994642,0.02,0,0,0,0,0,1,,,,,
Formant Synth Lead,0.465953,0.282384,2.78275e-09,0.322351,2,0.383031,1.33222,2.78275e-09,1.0589,0.893929,16,-0.265736,0.0615489,2,1,0.864093,2,1,0,0,-0.46097,-1,0,1,1,0.741581,0.557009,0.078985,1,0,1,0,0,0,0,1,,,,,
Caves,1.67792,0.25158,0.930628,2.13689,2,1.20148,1.88466,0.629477,0.743643,0.522167,8.74291,0.894262,0.273525,4,1,7.41958,4,0,-0.238359,0,0.932784,-1,0,0.63605,0.694407,0.943169,0.767595,0.566246,0.689255,0.619883,0,0,0,0,0,1,,,,,
Xylophone,0,0.529803,2.78275e-09,0.52916,0,0,0.536456,2.78275e-09,0.53,2.78275e-09,9.23726,-0.353677,0,0,1,0,0,2,1,0,-1,-1,0,0.469297,0.531541,0.0457566,0.150639,0.179853,0.951605,0,0,0,0,0,0,1,,,,,
Electric Organ 1,0.17,0,1,0.17,1,0,0,1,0,0.464052,0,0.324272,0.01,0,0.92,1.0773,2,0,0.0246093,0,-0.874988,-1,0,2.78275e-09,0,0.660043,0,0.0205412,0.991763,1.49012e-08,0,0,0,0,0,1,,,,,
Church Organ,0.17,0,1,0.17,1,0,0,1,0,0.427329,0,0.603278,0.04,0,0.546404,1.04254,2,-1,0.0246093,0.01,-1,-0.764157,0,0.785879,0,0.785879,1,0.115122,0.972108,0,0,0,0,0,0,1,,,,,
Reed Organ,0.17,0,1,0.17,1,0,0,1,0,0.763715,0,0.706986,0.04,0,0.546404,1.04254,2,-1,0.0246093,0.01,-1,-0.764157,0,0.785879,0,0.785879,1,0.115122,0.972108,0,0,0,0,0,0,1,,,,,
Sexy Boy,0.01,1.92115,2.78275e-09,0.39645,2,6.95688e-09,1.94992,2.78275e-09,0.964041,0.878329,16,-0.329533,0,1,0.54167,1.7625,1,-1,-0.447776,0,-1,-1,0,0.451552,0.0784359,0.628866,0.35,0.343417,1,0,0,0,0,0,0,1,,,,,
Flangey Bass 1,0.148853,0.918287,0.610371,0.313828,1,0.536656,0.811711,2.78275e-09,0.51,0.814662,16,0.420799,0.0500005,1,1,2.08707e-08,0,0,0.109264,0,-1,-1,0,0,0,0.857009,0.919699,0.11453,0.980541,0,0,0,0,0,0,1,,,,,
My Friend,0.17,0,1,0.412571,1,0,0,1,0,0.544135,0,0.440235,-0.00763828,2,0.504732,1.0773,2,0,0.752224,0,-0.874988,-1,0,0.93233,2.78275e-09,0.660043,0,0.0166401,0.991763,2.50448e-09,0,0,0,0,0,1,,,,,
Lazy Moon Lead,0,0.64,0.944545,0.58,2,0.19,0.721678,2.78275e-09,0.493298,0.61918,11.6103,0.386277,0,2,0.421929,2.08707e-08,2,0,0.0784552,3.50605e-09,-1,-1,0,0.95,0.913866,0.511921,0,2.78275e-09,0,0,0,0,0,0,0,1,,,,,
BubbleBath,0.594498,0.377137,2.78275e-09,0.423647,2,0.621376,6.95688e-09,1,0.425709,0.935028,16,-0.2,0.01,1,0.470001,0,0,0,-0.103494,0,-1,-1,0,1,0.947062,0.618459,0,0.214121,1,0,0,0,0,0,0,1,,,,,
Cosmonic,1.18408,0.840999,0.139107,1.05476,4,1.24032,0.767937,0.0471062,0.883595,0.636697,3.66455,0.639928,-0.513336,2,1,4.61906,0,2,0.770227,1.07907,0.996136,-0.967442,0,0.442048,0.729531,0.106133,0.532089,0.436212,0.00140755,0.387434,0,0,0,0,0,1,,,,,
Cosmonic 2,1.18408,0.840999,0.139107,1.05476,4,1.24032,0.767937,0.0471062,0.883595,0.604765,6.5832,0.639928,0.9,2,1,5.84977,0,2,0.6,1.13501,0.996136,0.918175,0,0.4352,0.628866,0.106133,0.532089,0.754765,0.554632,0.366566,0,0,0,0,0,1,,,,,
Deeck,0.252126,0.934375,0.467114,0,0,0.616969,1.30008,0.574163,0.25626,0.877329,11.6666,-0.310832,-0.584729,2,1,0.474773,0,1,0,0.121945,0.106303,-0.0200853,1,0.181575,0.863419,0.850228,0.783434,0.244986,0.343841,0.153213,1,0,0,0,0,1,,,,,
Encounter,0.158258,0.693322,0.186849,0.918287,1,1.20859,1.14779,0.442991,1.30938,0.145799,9.4168,0.237552,0.0131663,0,1,2.27409,2,0,0,0.0896232,0.13704,-0.5525,1,0.4729,0.408157,0.50707,0.530301,0.470846,0.492365,2.78275e-09,0,0,0,0,0,1,,,,,
Glassic,0.161656,0,1,0,0,0.946797,0.7916,0.58855,1.01752,0.306685,12.1724,0.795467,0,2,1,0,0,2,0.102814,0,-1,-1,0,0.59915,0.341702,0,0,0,0,0,0,0,0,0,0,1,,,,,
Periodic Junk,1.10748,1.3855,0.549145,0.70646,2,1.22195,0.77421,0.280759,0.758031,0.836285,1.90376,0.0692091,0.3,0,1,2.03427,0,-1,-0.0200853,0.167045,-0.506425,0.506425,0,0.427329,0.328866,0.58855,0.267416,0.451766,0.608731,0.108641,1,0,0,0,0,1,,,,,
Soft Simple,1.15929,1.38035,0.563645,1.58834,1,1.20859,1.14779,0.442991,1.30938,0.140851,9.05594,0.261013,0.068699,1,1,3.8295,2,0,0,0.120685,-0.65618,0,1,0.519687,0.408157,0.50707,0.530301,0.470846,0.492365,0.129875,0,0,0,0,0,1,,,,,
Vibratio,0.158258,0.693322,0.186849,0.918287,1,1.20859,1.14779,0.442991,1.30938,0.91664,15.3795,0.237552,-0.0173503,0,1,0.640491,2,0,0.44025,0.0719041,0.13704,-0.1229,1,0.4729,0.509088,0.50707,0.530301,0.470846,0.492365,2.78275e-09,0,0,0,0,0,1,,,,,
Wave,0.752137,0.898853,0.354657,1.27075,3,0.875,0.831713,0.5,1.81195,0.431791,0.150695,0.581686,-0.133221,2,1,0.40993,0,2,0.358308,0.273799,-0.15975,-0.320085,1,0.486381,0.300855,0.779973,0.553151,0.0280135,0.430614,0.0534721,0,0,0,0,0,1,,,,,
Artic,0.576081,1.19447,0.316166,2.06007,0,1.2606,2.49172,0.966529,0.804126,0.157868,10.5769,-0.393938,-0.171913,2,1,1.3676,2,1,0.88311,0.226119,-0.127432,0.293271,1,0.565404,0.39667,0.995892,0.966247,0.388953,0.19668,0.0186385,1,0,0,0,0,1,,,,,
Dirty Pulsating Bass,0.177835,0,1,0.313499,1,0.9584,0,1,0.383031,0.790223,-0.60913,0.7246,-0.985579,1,0.551537,2.94987,0,-1,0.342268,3.50605e-09,-0.014684,0.303265,0,0.673177,2.78275e-09,0.0544407,0.975315,2.78275e-09,2.78275e-09,0.310438,0,0,0,0,0,1,,,,,
Binary,0.574984,0.54701,0.686667,1.2676,2,0.155467,0.991667,0,0.0117666,0.876233,-13.12,0.946667,0.0133333,1,0.595853,2.725,4,2,-0.0266667,0,0.74,-0.93454,0,0.804068,0.774941,0,0.947145,0.293333,0.936667,0,0,0,0,0,0,1,,,,,
SpaceVoice2,0.383333,0.713973,0.96,0.466667,0,0.766667,0.85,0,0.799997,0.870574,2.786,0.248031,0.0391881,2,0.93349,0,0,-1,0.11503,0,-1,-1,0,0.904466,0.876214,0,0,0,1,0.144,0,0,0,-7,1,1,,,,,
Hammond,0.0333333,0.458333,0.823333,0,2,0.05,0,0,1.975,0.821267,-1.49334,0.553333,0.0266667,1,0.843333,0,0,0,0.0466667,0,-0.646666,-0.206667,0,1,1,0,0,0,1,0,0,0,0,0,0,1,,,,,
Neptune,0.141666,0.700009,0,0.523587,0,0.183333,0,0,1.975,0,1.81327,0.733333,0.0133337,0,0.919567,2.425,0,0,0.213333,0.243585,-1,-1,0,0.71,0.956667,0,0.98,0.246667,1,0,0,0.0133333,0,12,0,1,,,,,
TinE,0,0,0.96,0.466667,0,0,0,0.0233333,0.649997,0.291,16,1.42,-0.0474786,0,0.770157,2.41732,0,2,-0.0783033,0,-1,0.326667,0,0.114466,0.08,0,0,0,1,0,0,0,0,12,0,1,,,,,
Vibraphone,0,1.075,0,1.25,0,0,0.508333,0,0.649997,0.287766,1.92,0.86,0.0325214,0,0.86349,2.44232,0,1,-0.0783033,0,-1,0.58,0,0,0.733333,0,0,0,1,0,1,0,0,12,0,1,,,,,
NotherGeeTar,0.0333333,1.50834,0,0.281917,1,0,1.475,0.0333334,0.333333,0.924733,6.4,-0.36,0.0066667,1,0.382901,0,0,0,1,0.188988,-0.52,-0.7,0,0.763333,0.613333,0,0.786667,0.220625,1,0,0,0,0,0,0,0,,,,,
Xylo1,0,1.075,0,0.466667,0,0,0,0.43,0.649997,0.0484996,12.2667,1.02,0.0325214,0,0.75349,0,0,2,0.0933333,0,-1,-1,0,0.141133,0.733333,0,0,0,1,0,0,0,0,-7,0,1,,,,,
BlipsKnobs,0.15,1.48334,0,0.62359,2,0,1.01667,0.0966667,1.33333,0.97,7.8933,0.26,0.02,2,0.568636,0,0,-1,0.08,0,-0.506667,-1,0,1,1,0,0.88,0,1,0,0,0,0,0,0,0,,,,,
Cheery,0.208333,0.858333,0,0.53333,2,0.225,0.6,0.323333,0.649997,0.808333,4.16,-0.253333,0.04,2,0.666824,0,0,0,-0.54,0.32338,-1,-1,0,0.79,1,0.176666,0.94,0.216667,1,0,1,0,0,6,0,1,,,,,
Colder,0.158333,0.125,0.863334,0.48192,2,0,0.2,0.45,1.86667,0.773575,14.5067,-0.266667,0.473333,2,0.8829,0.325,0,0,0.061697,0.0580902,-0.593334,-0.626667,0,1,1,0.343333,0.786667,0.490625,1,0,0,0.02,2,7,1,1,,,,,
NewGuy1,0.158333,0.125,0.863334,0.48192,0,0,0.2,0,1.86667,0.97,-14.1866,0.546666,0.0533333,2,0.8829,0,5,0,0.341697,0,-1,-1,0,1,0.38,0,0.786667,0.153958,1,0,0,0.0233333,0,-12,0,1,,,,,
NewGuy2,0.158333,0.125,0.863334,0.48192,0,0,0.2,0,1.86667,0.97,11.2,0.546666,0.0533333,2,0.8829,0,5,0,0.341697,0,-1,-1,0,1,0.38,0,0.786667,0.153958,1,0,0,0.0233333,0,-12,0,1,,,,,
Rock,0.18333,0,0.923333,0.36667,2,0,0,0,0,0,1.28003,0.0333333,0.00666633,1,0.7529,0,0,-1,-0.34,0,-0.533333,-1,0,1,0,0,0.623333,0,1,0.246,0,0,1,5,1,0,,,,,
Rock2,0.149997,0,0.923333,0.200003,2,0,0,0,0,0,1.28003,0.0333333,0.00666633,1,0.7529,2.35,0,1,-0.34,0.172189,-1,-1,0,1,0,0,0.623333,0,1,0.246,0,0.0666666,1,5,1,0,,,,,
Vapour,0.275,1.1,0,0.406916,1,0,1.125,1.02818e-08,0.866666,0.8633,14.9334,0.103937,0.0133333,1,0.819567,2.525,5,0,0.58,0,0.353333,0.68,1,1,0.829999,0,0.623333,0.000624994,1,0.195,0,0.00666667,0,5,0,1,,,,,
HappyBee,0.275,1.1,0,0.406916,1,0,1.125,1.02818e-08,0.866666,0.8633,14.9334,0.103937,0.0133333,1,0.819567,2.525,0,0,0.58,0.382176,-1,-1,0,1,0.829999,0,0.623333,0.000624994,1,0.195,0,0.00666667,0,0,0,1,,,,,
HiddenThird,0.275,1.14167,0,0.790249,2,0,0.8,0.0533333,0.866666,0.821267,5.65337,0.683937,0.00666667,0,0.8729,0,0,1,-0.326666,0,-1,-1,0,1,1,0,0.623333,0.000624994,1,0,0,0.00666667,0,4,0,1,,,,,
MoogOboe,0.25,0.975003,0.723333,0.191667,0,0,0.0500004,0.0366667,0.133333,0.708908,0.853333,1.08,-0.02,2,0.919566,0,0,-1,-0.0666667,0,-0.266667,-0.126667,1,0.883333,0.61,0,0.623333,0.220625,1,0.078,0,0,1,5,0,1,,,,,
Sweeter,0.0333333,0.216673,0.786667,0.44025,2,0,0.0666633,0.876667,0.891666,0.672126,11.2,-0.311024,0.0254593,1,0.826233,3.09803,0,0,0.101697,0,0.0266663,0.233334,0,0.764466,0.493333,0.746667,0.88,0.39,1,0,0,0.02,2,0,0,1,,,,,
3point5,0.0333333,0.258343,0.813333,0.623587,2,0.0916667,0.65,0.526667,1.225,0.851175,11.84,-0.279528,0.04,1,0.725302,1.72205,0,0,-0.0983033,0.247784,-1,-1,0,1,0.0433333,0.746667,0.88,0.333333,1,0,0,0.0233333,0,0,0,1,,,,,
3point75,0.0333333,0.258343,0.813333,0.623587,2,0.0916667,0.65,0.526667,1.225,0.851175,7.68,-0.279528,0.04,1,0.725302,1.84705,0,0,-0.0983033,0.188988,-1,-1,0,1,0.423333,0.166667,0.88,0.266666,1,0,0,0.0233333,0,12,0,1,,,,,
Fantasy,0.0595099,0.283793,0.485671,1.18582,1,0.22003,0,0.192981,2.35242,0.97,-7.5661,0.86619,0.953333,2,0.23252,2.825,1,0,0.233527,0.873544,0.606667,-1,0,0,1,0.08752,0.627201,0.199636,1,0.126,0,0.0266667,0,8,1,1,,,,,
HeartsCry,0,1.2151,0,1.21969,1,0.0583333,0.850603,0,0.33064,0.714566,0.319996,0.76192,0.02,1,0.502624,2,0,-1,1,0.277183,-1,-1,1,1,0,0,0.943333,0,0.979909,0,0,0,0,12,0,1,,,,,
WideEyed,0.0333333,0.216673,0.786667,0.44025,1,0,0.0666633,0.91,0.891666,0.860067,-0.746667,1.41564,0.0133333,1,0.546233,0.575,0,0,0.101697,0,0.826667,-1,0,0.786667,0.51,0,0.88,0.24,1,0.228,0,0.02,2,5,0,1,,,,,
OnYourTail,0.158333,0.125006,0.98,0.948583,2,0,0.0666633,0.946667,1.21667,0.860067,-13.5467,1.32898,-0.0333333,1,0.519566,2.325,0,1,-0.018303,0,-0.526667,-1,0,0.773333,1,0,0.88,0.24,1,0.075,0,0,0,7,0,1,,,,,
GoneHome,0.125,1.38333,0,1.39025,1,0,1.39167,0.0700003,1.31667,0.905333,14.4,0.0933333,-0.0200007,2,0.8229,2.725,1,0,0.38,0,-1,0.433333,0,0.85,1,0,0.636667,0,1,0.144,0,0,0,0,0,1,,,,,
b12revisited,0.0333333,1.70001,0,0.790254,2,0.0916667,0.65,0.786667,1.225,0.712142,7.89333,-0.279528,0.02,1,0.465302,7.5,1,1,-0.0983033,0,-0.446667,-1,0,0.983333,0,0.263334,0.88,0.333333,1,0,0,0,0,0,0,1,,,,,
killer,0.0333333,1.70001,0,0.790254,2,0.0916667,0.65,0.786667,1.225,0.712142,7.89333,1.30714,0.02,1,0.465302,7.5,1,1,-0.0983033,0,-0.446667,-1,0,0.983333,0,0.263334,0.88,0.333333,1,0,0,0,0,0,0,1,,,,,
BuddyPass,0.0333333,0.316673,0.786667,0.29025,1,0,0.0666633,0.876667,0.333333,0.715376,5.97333,0.513333,-1,2,0.386233,2.00787,0,0,0.101697,0,-0.613334,-1,0,0.791133,1,0.746667,0.88,0.333333,1,0.444,1,0,1,0,0,0,,,,,
Hoover,0.166666,0.81668,0.54,0.50692,3,0.558333,0.608333,0,1.975,0.0873,12.0533,1.39333,-0.086667,2,0.689567,2.125,0,-1,0.386666,0,-1,-0.113333,0,0.0566666,1,0.15,0.636667,0.223334,1,0.255,0,0,1,0,0,0,,,,,
Hoover2,0.166666,0.81668,0.54,0.165253,3,0.141666,0.625,0,1.975,0.769533,12.0533,1.39333,-0.046667,2,0.689567,0.5,0,-1,0.386666,0,0.86,-0.113333,0,0.0566666,1,0.15,0.636667,0.223334,1,0.255,0,0,1,-12,0,0,,,,,
Pleasantry,0,1.16667,0,0.466667,0,0,0,0.0233333,0.649997,0.575533,2.24,0.953333,-0.0274786,0,0.770157,2.65,0,1,0.0333333,0,-0.26,-1,0,0.114466,0.08,0,0,0,1,0,0,0,0,12,0,1,,,,,
InTheMist,0.208333,0.791667,0.296667,0.866667,0,0,0.558333,0,0.649997,0.714567,1.92,0.5,-0.000811947,0,0.666824,2.275,0,1,0.0333333,0.100794,-0.813333,-1,0,1,1,0.433333,0,0.216667,1,0,1,0,0,6,0,1,,,,,
RotateCutoff,0.0333333,0.633333,0.48,0.515254,2,0,0.533334,0.146667,1.225,0.769533,4.05333,0.885827,0.02,1,0.725302,1.075,0,0,0.121697,0.151191,-0.86,-0.633333,0,0.983333,0.676667,0.233334,0.88,0.27,1,0,0,0,0,0,0,1,,,,,
Rowland,0.0333333,0.208333,0.793333,0.748587,2,0,0.683333,0.286667,1.225,0.9215,9.81333,0.843255,0.02,1,0.725302,0,1,0,0.121697,0,-1,-1,0,0.983333,0.676667,0.233334,0.88,0.27,1,0,0,0,0,0,0,0,,,,,
Rowland2,0.0333333,0.208333,0.793333,0.748587,2,0,0.675,0.133334,1.225,0.672533,6.08,0.843255,0.02,1,0.725302,0,1,0,0.121697,0,-1,-1,0,0.983333,0.676667,0,0.88,0,1,0,0,0,0,0,0,1,,,,,
PinkPiano,0.0333333,1.15,0,0.748587,2,0,0.683333,0.286667,1.225,0.9215,9.81333,0.854331,0.02,1,0.518635,0,1,2,0.121697,0,-1,-1,1,0.533333,0.946667,0.233334,0.88,0.27,1,0,0,0,0,7,0,0,,,,,
PinkPiano2,0.0333333,1.15,0,0.565254,2,0,0.625,0.286667,0.816667,0.685467,9.81333,0.397638,0.02,1,0.671969,0,1,1,0.121697,0,-1,-1,1,0.533333,0.946667,0,0.88,0,1,0,0,0,0,7,0,0,,,,,
Mozart,0.0333333,1.15,0,0.565254,2,0,0.625,0.286667,0.816667,0.685467,9.81333,0.397638,0.02,1,0.671969,1.575,0,1,-0.0133333,0,-0.426667,-1,1,0.533333,0.516667,0,0.88,0,1,0,0,0,0,7,0,0,,,,,
RoundCorner,0.0333333,1.15,0,0.565254,2,0,0.625,0.066667,0.816667,0.7954,4.37333,0.454331,-0.0333333,1,0.671969,0,0,0,-0.0133333,0,-1,-1,0,0.796667,1,0,0.88,0,1,0,0,0,0,0,0,0,,,,,
OnTheBay,0.0333333,0.15,0.83,0.565254,2,0,0.625,0.066667,0.816667,0.7954,4.37333,1.40551,-0.0333333,1,0.671969,0,0,0,-0.0133333,0,-1,-1,0,0.796667,1,0,0.88,0,1,0,0,0.0266667,1,0,0,0,,,,,
Cantina,0.158333,0.125,0.863334,0.48192,0,0,0.408333,0,1.86667,0.924733,1.70667,0.546666,0.0533333,2,0.8829,0,5,0,0.341697,0,-1,-1,0,1,0.38,0,0.786667,0.153958,1,0,0,0.0233333,0,-12,0,1,,,,,
Pole,0.191663,0,0.746667,0.200003,0,0,0.6,0.266667,1.35,0.738008,-13.0133,0.988241,0.00666666,1,0.836233,2.075,0,0,-1,0.268783,-0.0333334,-0.113333,0,0.883333,0.826667,0.0233334,0.79,0.173959,1,0.276,0,0,1,0,1,0,,,,,
LowLeed,0.441663,0.191667,0.8,0.200003,2,0.475,0,0.67,1.35,0.120441,-12.9066,0.494908,0.00666666,2,0.836233,2.125,0,-1,-0.246667,0.113393,-1,-0.673333,0,0.583333,0.81,0.0233334,0.79,0.173959,1,0.342,0,0,1,7,1,1,,,,,
Lonely,0.441663,0.191667,0.8,0.200003,2,0.475,0,0.67,1.35,0.120441,-12.9066,0.494908,0.00666666,2,0.836233,2.125,0,0,-0.246667,0.113393,-1,-0.673333,0,0.583333,0.81,0.0233334,0.79,0.173959,1,0.294,1,0.0266667,2,2,1,1,,,,,
Seeped,0.299999,0,0.743333,0.50692,2,0,0,0.853333,1.975,0.109933,-16,1.07333,1,2,1,2.20059,0,-1,0.133333,0.117593,0.126667,-1,0,0.896667,1,0.15,0.636667,0.223334,1,0,0,0,0,8,1,0,,,,,
AllThumbs,0.299999,0,0.743333,0.50692,2,0,0,0.853333,1.975,0.109933,-16,1.07333,0.5,2,1,2.20059,0,-1,0.133333,0.117593,0.126667,-1,0,1,1,0.15,0.636667,0.223334,1,0,0,0,0,8,1,0,,,,,
CuteNose,1.00833,0,0.863333,1.04166,2,0.116667,0.400001,0.143333,0.866664,0.6208,-11.4134,1.16667,0.02,2,0.803491,0.825,0,0,0.353333,0.15539,-0.7,-1,0,1,1,0.176666,0.94,0.216667,1,0,0,0.03,2,0,0,0,,,,,
Whispers,0.0333333,0.0666766,0.633333,0.615253,2,0.225,0.166667,0,1.225,0.796209,-5.22667,0.16,-0.466667,2,0.613333,2.1,0,0,0.28,0.16379,-1,-1,0,0.463333,1,0,0.956667,0,1,0,0,0,0,2,0,1,,,,,
Ephemeral,0.208333,0,0.743334,1.38333,0,0.225,0.541667,0,0.649997,0.873,3.62667,0.52,0.04,0,0.666824,2.275,0,0,0.0333333,0.32338,-1,-1,1,1,1,0.176666,0.94,0.216667,1,0,0,0,0,0,0,0,,,,,
Ephemeral2,0.208333,0,0.743334,1.38333,0,0.225,0.541667,0,0.649997,0.873,3.62667,0.52,0.04,0,0.666824,2.275,0,0,0.0333333,0.32338,-1,-1,1,1,1,0.176666,0.94,0.216667,1,0,1,0,0,6,0,0,,,,,
Ephemeral3,0,0.541667,0.756667,0.8,0,0.225,0.541667,0,0.649997,0.873,3.62667,0.52,0.04,0,0.666824,2.275,0,0,0.0333333,0.32338,-1,-1,0,1,1,0.176666,0.94,0.216667,1,0,1,0,0,6,0,0,,,,,
Ephemeral4,0.208333,0,0.743334,1.38333,1,0.225,0.541667,0,0.649997,0.873,3.62667,0.52,0.04,0,0.666824,2.275,0,0,0.0333333,0.32338,-1,-1,1,1,1,0.176666,0.94,0.216667,1,0,0,0,0,0,0,0,,,,,
FirstClass,0,0.541667,0.756667,0.8,0,0.225,0.541667,0.63,0.78333,0.97,3.62667,0.633333,0.04,0,0.666824,2.275,0,0,0.0333333,0.32338,-1,-1,0,1,1,0.176666,0.94,0.216667,1,0,1,0,0,6,0,0,,,,,
PlanetPianet,0.0333333,1.15,0,0.748587,2,0,0.683333,0.286667,1.225,0.691933,1.17333,0.854331,0.02,1,0.518635,2.575,0,1,0.273333,0.121792,-0.773333,-1,0,0.566666,0.496667,0.233334,0.88,0.27,1,0,0,0,0,7,0,0,,,,,
RubberBall,1.43333,1.45,0,1.45833,2,0.225,0.766667,0.113333,0.78333,0.724267,3.62667,1.13333,0.04,2,0.666824,2.275,5,0,0.66,0,0.553333,-1,0,0,0.82,0.176666,0.94,0.216667,1,0,0,0,0,7,1,0,,,,,
Overtones,0.108333,1.08333,0,1.06667,2,0,0.741667,0.0866667,0.78333,0.856833,-9.81333,0.326666,0.04,1,0.666824,0,5,0,0.66,0,-1,-1,0,0.796667,0.82,0.176666,0.95,0.216667,1,0,0,0,0,4,1,0,,,,,
Kinda12String,0.108333,1.2,0,0.575,2,0,0.541667,0.0866667,0.78333,0.582,-9.81333,0.326666,0.04,1,0.666824,0,5,0,0.66,0,-1,-1,0,0.796667,0.61,0.176666,0.95,0.216667,1,0,0,0,0,12,1,0,,,,,
Fireside,0.375,1.41667,0,0.575,2,0,0.541667,0.0866667,0.78333,0.582,-9.81333,0.326666,0.04,1,0.666824,2.15,0,0,-0.526667,0.109193,-1,-1,0,1,0.79,0.176666,0.95,0.216667,1,0,0,0,0,-7,1,0,,,,,
Festa,0.375,1.41667,0,0.575,2,0,0.541667,0.0866667,0.78333,0.769533,-9.81333,0.313333,-0.986667,1,0.666824,2.15,0,0,-0.526667,0.109193,-1,-1,0,0,0.336667,0.176666,0.95,0.216667,1,0,0,0,0,-8,1,0,,,,,
ElectricSwamp,0.375,1.25833,0,1.00833,2,0,0.533333,0.83,0.78333,0.4947,-12.8,1.05333,-0.293333,2,0.843491,2.15,0,0,0.353333,0.109193,0.546667,-1,0,0.196667,0.693333,0.176666,0.95,0.216667,1,0,0,0,0,8,1,1,,,,,
FlyAway,0.241667,0.775,0.326667,0.9,2,0,0.808333,0.0733333,0.78333,0.2425,2.98667,-0.413334,-1,2,0.910157,2.15,0,0,0.333333,0,-0.753333,-1,0,0.523333,0.76,0.176666,0.95,0.216667,1,0,0,0,0,4,2,0,,,,,
Escape,0.208333,0,0.743334,1.025,1,0.225,0.541667,0,0.649997,0.578767,3.62667,0.913333,0.04,0,0.666824,2.275,0,0,-0.433333,0.32338,-1,-1,0,0.316667,1,0.176666,0.94,0.216667,1,0,0,0,0,7,0,0,,,,,
Escape2,0.208333,0,0.743334,1.025,1,0.225,0.541667,0,0.649997,0.578767,3.62667,0.913333,0.04,2,0.666824,2.275,0,1,-0.273333,0.32338,-1,-1,0,0.316667,1,0.176666,0.94,0.216667,1,0,0,0,0,7,0,0,,,,,
Escape3,0.208333,0,0.743334,1.025,1,0.225,0.541667,0,0.649997,0.578767,3.62667,0.913333,0.04,2,0.666824,2.275,0,1,-0.273333,0.32338,-1,-1,0,0.316667,1,0.176666,0.94,0.216667,1,0,0,0,0,7,0,1,,,,,
Escape4,0.208333,0,0.743334,1.025,1,0.225,0.541667,0,0.649997,0.578767,-12.0533,0.913333,0.04,2,0.666824,2.275,0,1,-0.273333,0.32338,-1,-1,0,0.503333,0,0.176666,0.94,0.216667,1,0,0,0,0,7,0,1,,,,,
Escape5,0.208333,0,0.743334,1.025,1,0.225,0.541667,0,0.649997,0.578767,-12.0533,0.913333,0.04,2,0.666824,2.275,0,1,0.753333,0.32338,-1,-1,0,0.503333,0,0.176666,0.94,0.216667,1,0,1,0,0,7,0,1,,,,,
Brazz,0.15,0,0.913334,0.30833,1,0.266667,0.283334,0,0.649997,0.488233,-12.2667,0.733333,2.14577e-08,2,0.666824,2.225,0,1,0.753333,0.281382,-1,-1,1,0.503333,0,0.176666,0.94,0.216667,1,0,0,0,0,7,0,1,,,,,
Caribbean,0.15,0.45,0,0.416663,1,0,0,0,0.649997,0.491467,-11.52,0.846667,2.14577e-08,2,0.830157,0,0,1,0.753333,0,-1,-1,1,0.503333,0,0.176666,0.94,0.216667,1,0,0,0,0,-3,0,1,,,,,
TrainXing,0.15,1.325,0,1.175,1,0,0,0,0.649997,0.491467,-11.52,0.846667,2.14577e-08,2,0.830157,2.3,6,0,0.753333,0,0.366667,-1,1,0.503333,0,0.176666,0.94,0.216667,1,0,0,0,0,-3,0,1,,,,,
Ruff,0.15,1.325,0,0.274996,1,0,0.191667,0.31,0.649997,0.491467,-16,1.11333,0.0133334,1,0.643491,0,6,-1,0.626667,0,-1,-1,1,0.503333,1,0.176666,0.94,0.216667,1,0,0,0,1,-5,0,1,,,,,
